FileID,FileSizeMB,FileAgeYears,AnomalyScore,DigitalWasteScore,WasteRisk,Recommendation
000e46ce402500409354,2796.4150390625,4.482191780821918,0.11029419888977232,29.72707550119911,Low,Keep active
0ae9d8ff4a2fde36885c,4873.171875,4.495890410958904,0.11272128416566524,29.096797251425883,Low,Keep active
0f8bc5a91a518d0461cf,6732.01171875,4.506849315068493,0.14412023481690867,20.942952861306125,Low,Keep active
0f8bc5a91a518d0461cf,1033.12255859375,4.506849315068493,0.11191907569593279,29.30511895947555,Low,Keep active
0f8bc5a91a518d0461cf,5332.77734375,4.506849315068493,0.15564834299791824,17.949273191418925,Low,Keep active
0f8bc5a91a518d0461cf,7146.6328125,4.506849315068493,0.15391140260851555,18.40033099291722,Low,Keep active
a321a37d53bf78ba06b0,4700.79443359375,4.495890410958904,0.1220448304071895,26.67560980277895,Low,Keep active
a28f801073caf17bfcd1,4.0,4.495890410958904,0.05471353588874439,44.160553939502314,Medium,Review file usage
a28f801073caf17bfcd1,605.1328125,4.495890410958904,0.11403973220272473,28.75441574160888,Low,Keep active
0f37d3c73b0d2b79d59c,2601.41015625,4.50958904109589,0.12642941384910883,25.536998149860864,Low,Keep active
a0c9d307758c22f1f471,4903.87109375,4.487671232876712,0.15804901789969233,17.32585332628541,Low,Keep active
a0c9d307758c22f1f471,1680.75,4.487671232876712,0.05779588655768253,43.36011293147429,Medium,Review file usage
0e105d9b1c26d427679e,226.16796875,4.506849315068493,0.0971908244359202,33.129828588998535,Low,Keep active
0e105d9b1c26d427679e,1610.11328125,4.506849315068493,0.1599411316415396,16.834499293763983,Low,Keep active
a2ad47060b76820c4993,17834.078125,4.495890410958904,0.11205624504488554,29.26949810262343,Low,Keep active
a31cf268956642aa5e93,4130.37890625,4.504109589041096,-0.036158997604554544,67.7588106350955,High,Move to cold storage
a28fa2ada018a9025a98,4715.59375,4.493150684931507,0.1677169319787924,14.815238629201318,Low,Keep active
a1b259a63d0c42286bad,360.189453125,4.484931506849315,0.09409923257241992,33.93266939895865,Low,Keep active
a1b259a63d0c42286bad,942.181640625,4.484931506849315,0.09731849482669752,33.09667447148719,Low,Keep active
a1b259a63d0c42286bad,8629.578125,4.484931506849315,0.14520911653124458,20.660186339693382,Low,Keep active
a3d8e9815c67c53b2201,123.59375,4.487671232876712,0.04547888535637146,46.55865648357964,Medium,Review file usage
a3d8e9815c67c53b2201,16765.21875,4.487671232876712,0.11497777882784127,28.510818868043472,Low,Keep active
0e4a36681ae5dc69e49b,4775.7265625,4.495890410958904,0.08762495339102527,35.61394421510265,Low,Keep active
0cba05cf57c7440906b8,121.59375,4.495890410958904,0.05431284974545414,44.264606221311176,Medium,Review file usage
0cba05cf57c7440906b8,2290.82421875,4.495890410958904,0.126674849303399,25.47326218223796,Low,Keep active
a0ae800064560c4077f7,18278.34375,4.49041095890411,-0.008517975312947734,60.5808448153789,High,Move to cold storage
a0ae800064560c4077f7,18141.609375,4.49041095890411,-0.007941785012668179,60.43121669245978,High,Move to cold storage
0cd5961ce318315450e7,2045.48095703125,4.493150684931507,0.06389382118591447,41.77656924519009,Medium,Review file usage
a0d47185d734b99fafb2,2947.96484375,4.487671232876712,0.1231711279954329,26.3831269305483,Low,Keep active
a2052853461eef859308,2045.125,4.49041095890411,0.15375407059101764,18.441187797417186,Low,Keep active
a4385305cb5bb288d354,9063.96484375,4.49041095890411,0.14592951780799396,20.473108753110864,Low,Keep active
a4385305cb5bb288d354,300.4375,4.49041095890411,0.06241636550180896,42.160242695787296,Medium,Review file usage
0af2f215cada9719f522,5991.4296875,4.487671232876712,0.07624114692010253,38.57015085914431,Low,Keep active
0a2ae58ba15e6e63ece3,6877.29541015625,4.495890410958904,0.11537422417351184,28.407867858830144,Low,Keep active
a2b2d63017d08d556cb2,496.19140625,4.495890410958904,0.12043142120142103,27.09458837781301,Low,Keep active
a2b2d63017d08d556cb2,1046.2890625,4.495890410958904,0.12594470894799592,25.66286886390799,Low,Keep active
a111f434e0ad4882236b,120.5625,4.49041095890411,0.05638341678965286,43.72691049812503,Medium,Review file usage
a111f434e0ad4882236b,2574.10546875,4.49041095890411,0.1296656827189896,24.69658685514291,Low,Keep active
a159eee05fdcbae4d176,4337.13671875,4.50958904109589,-0.0348465487023123,67.41798701211104,High,Move to cold storage
a159eee05fdcbae4d176,1131.69140625,4.50958904109589,-0.02137141888930194,63.91869454045009,High,Move to cold storage
0c6d0ded2d305941b3b5,5340.078125,4.501369863013698,0.15973864758036316,16.887081418072867,Low,Keep active
a3e6617840b067870d4c,295.84375,4.495890410958904,0.06382894422623664,41.79341683476697,Medium,Review file usage
a3e6617840b067870d4c,1600.55078125,4.495890410958904,0.10409860925820774,31.335978751563516,Low,Keep active
a2b72838cab87c649c53,1044.4375,4.493150684931507,0.06677342409378206,41.028778840444225,Medium,Review file usage
a14889cfb89ef7205e22,18148.953125,4.487671232876712,-0.00894133389001528,60.69078479385059,High,Move to cold storage
