SnapshotID,FileID,ParentDirectoryID,FileNameHash,FileExtension,FileType,Unknown,FileSize,AllocatedSize,Timestamp,ClusterSize,Attributes,Meta,FileDate,FileSizeMB,FileAgeYears
59366,0f971bbb1283804621ee,41b71abcd1e956b6ff07,003bd5343649fbe903e2,1028462321,d,FAT,2397184,8175616,127421588972430000,1024,6,198,2004-10-13 16:34:57.243000031,2.2861328125,0.4246575342465753
59443,a3b188cde046c39eb7cd,ee72ef9a18ba91d4a7de,eb17bfe0ed80e9c43f34,-867032513,c,NTFS,26882236416,39999500288,127421714556460000,4096,459007,198,2004-10-13 20:04:15.645999908,25636.8984375,0.4246575342465753
59460,0f28e3cd96e134d67cfc,0f28e3cd96e134d67cfc,eb17bfe0ed80e9c43f34,475158572,c,NTFS,44326547456,79933267968,127426738633510000,4096,459007,198,2004-10-19 15:37:43.351000071,42273.08984375,0.40821917808219177
59482,0a4ae941db8db1fc0e73,0a4ae941db8db1fc0e73,eb17bfe0ed80e9c43f34,-1811197634,c,NTFS,18857463808,31453437952,127422594000990000,4096,459007,198,2004-10-14 20:30:00.098999977,17983.87890625,0.42191780821917807
59483,0a4ae941db8db1fc0e73,0a4ae941db8db1fc0e73,0954b00875537c7d246a,-1528773411,d,NTFS,33201324032,41940668416,127422595335070000,4096,459007,198,2004-10-14 20:32:13.506999969,31663.25,0.42191780821917807
59687,a04111b7dab28890fd77,e23c0617fa85233f741e,9b2feaaba045feb3e70a,-1330785829,c,NTFS,155441942528,203917238272,127417585461200000,4096,459007,198,2004-10-09 01:22:26.119999886,148240.98828125,0.43561643835616437
59688,a04111b7dab28890fd77,e23c0617fa85233f741e,9b2feaaba045feb3e70a,-400339053,c,NTFS,161519026176,203917238272,127555786718750000,4096,459007,198,2005-03-18 00:17:51.875000000,154036.546875,0.0
59706,0c23e9d0007322f4b9cf,9e42f2669c8e0bd37f0a,eb17bfe0ed80e9c43f34,1217450589,c,NTFS,28703879168,41940668416,127416362653960000,4096,459007,198,2004-10-07 15:24:25.395999908,27374.15234375,0.4410958904109589
59707,0c23e9d0007322f4b9cf,557e8af878c66f21781c,eb17bfe0ed80e9c43f34,-1939181976,c,NTFS,29365727232,41940668416,127415783470770000,4096,459007,198,2004-10-06 23:19:07.076999903,28005.33984375,0.4438356164383562
59708,0c23e9d0007322f4b9cf,557e8af878c66f21781c,2445e6b10a0926a0b526,-1201708765,d,NTFS,6395228160,18062680064,127415784587950000,4096,459007,198,2004-10-06 23:20:58.795000076,6098.96484375,0.4438356164383562
